State	Bushels	Acres	Grouping	in.group.pos
Iowa	445574589	9944865	1	1
Illinois	415716620	9825475	1	2
Minnesota	233714926	6174563	2	3
Indiana	210645005	5003186	1	3
Ohio	172972596	4115575	2	1
Missouri	164562845	4671797	3	3
Nebraska	131017170	3346701	2	2
Arkansas	103074994	3571342	5	3
South Dakota	100762163	2939146	4	1
Kansas	78563054	2208642	3	2
Michigan	62242411	1694872	3	1
Mississippi	59370926	1964202	4	4
Wisconsin	42681842	990531	1	4
Kentucky	41294246	1214938	4	2
Tennessee	37976452	1156282	4	3
Louisiana	36152458	1260523	6	1
North Carolina	35785336	1280412	6	2
North Dakoata	31069124	1062624	5	2
Maryland	15171466	509683	5	1
Pennsylvannia 	12941343	347981	2	4
