Date	Open	High	Low	Close	Volume
Dec 26, 2003	10305.85	10343.04	10304.82	10324.67	49518954
Dec 24, 2003	10341.41	10341.48	10305.12	10305.19	86180384
Dec 23, 2003	10337.56	10375.93	10296.15	10341.26	151085076
Dec 22, 2003	10276.48	10338.00	10255.26	10338.00	165729938
Dec 19, 2003	10249.48	10293.19	10230.08	10278.22	279780355
Dec 18, 2003	10141.41	10254.08	10137.34	10248.08	218014239
Dec 17, 2003	10128.75	10146.38	10094.75	10145.26	197177001
Dec 16, 2003	10023.34	10137.63	10023.34	10129.56	233731105
Dec 15, 2003	10046.53	10139.63	10021.64	10022.82	247017244
Dec 12, 2003	10008.75	10052.07	9976.79	10042.16	176896872
Dec 11, 2003	9922.45	10026.53	9920.97	10008.16	208632426
Dec 10, 2003	9922.38	9958.38	9882.38	9921.86	220980731
Dec 9, 2003	9966.45	10003.12	9916.90	9923.42	231393377
Dec 8, 2003	9862.01	9970.16	9859.57	9965.27	192729102
Dec 5, 2003	9923.27	9923.42	9846.31	9862.68	201637332
Dec 4, 2003	9874.83	9933.86	9865.78	9930.82	216936236
Dec 3, 2003	9851.94	9942.01	9851.42	9873.42	222568837
Dec 2, 2003	9899.64	9900.45	9837.27	9853.64	218174995
Dec 1, 2003	9785.35	9902.23	9785.35	9899.05	227651855
Nov 28, 2003	9779.72	9804.98	9764.83	9782.46	79157359
